Year,FERU,Generalized FERU
1982,0.0518486043956612,0.0505856397683126
1982.25,0.0508093385992072,0.049197509425907
1982.5,0.0487780688424624,0.0468612815895744
1982.75,0.0497460216164737,0.0475603377490951
1983,0.0503624639764356,0.048323343797488
1983.25,0.0522098330457651,0.0503561707405423
1983.5,0.0526844906547986,0.0512083858509196
1983.75,0.0534930940506446,0.0524935241385927
1984,0.0534378143265609,0.0528117917689367
1984.25,0.0536810539721004,0.0533391323269436
1984.5,0.0540948755018029,0.0537867112794899
1984.75,0.0539468874604149,0.053712236494595
1985,0.0537897140105182,0.0535852884605101
1985.25,0.0541719484604348,0.053956113759027
1985.5,0.0539555372505918,0.0537869586726648
1985.75,0.0531953423190832,0.0530723007163046
1986,0.0525970003369436,0.0524230503554989
1986.25,0.0531831218004777,0.052971280852017
