Year,FERU3,FERU4,FERU5
2016.25,0.0428009067955259,0.0441488813144857,0.0468155932586896
2016.5,0.0421898873300728,0.0433843203198936,0.0462904293011173
2016.75,0.0416563712289804,0.0430207606783393,0.0458284045891891
2017,0.0408246393067762,0.0420779054425945,0.0447025924931129
2017.25,0.040134118762566,0.0412846013916799,0.0440060291632826
2017.5,0.0411246312544678,0.0423095182198213,0.0449731508821248
2017.75,0.0405504807060972,0.0419211039774688,0.0446482353211553
2018,0.0403040750024528,0.041560497953322,0.044359462584808
2018.25,0.0409483529943023,0.0420958488745732,0.0448818088828018
2018.5,0.0409382375062849,0.04247926058675,0.0455187679071128
2018.75,0.0418339362280093,0.0430296407389395,0.0462630582129706
2019,0.0417681594607862,0.0429543634233636,0.0460062720408872
