Year,Unemployment rate,FERU,Unemployment gap
1946.5,0.0375695462333333,0.0418447907955922,-0.0042752445622589
1946.75,0.0433653724333333,0.042772869233263,0.000592503200070302
1947,0.0412949962,0.0408006382608734,0.000494357939126604
1947.25,0.0456414973666667,0.0413166342861913,0.00432486308047535
1947.5,0.0461971954333333,0.0420860673403039,0.00411112809302942
1947.75,0.0432663110333333,0.0408923024210212,0.0023740086123121
1948,0.0373333333333333,0.0359619447651109,0.00137138856822241
1948.25,0.0366666666666667,0.0350198378843256,0.0016468287823411
1948.5,0.0376666666666667,0.0352562022430097,0.002410464423657
1948.75,0.0383333333333333,0.033287395300457,0.00504593803287631
1949,0.0466666666666667,0.0329664003932624,0.0137002662734043
1949.25,0.0586666666666667,0.0350639447536767,0.02360272191299
1949.5,0.067,0.0350374193517921,0.0319625806482079
1949.75,0.0696666666666667,0.0337768258411,0.0358898408255667
1950,0.064,0.0348060657395614,0.0291939342604386
1950.25,0.0556666666666667,0.0341069677465861,0.0215596989200805
1950.5,0.0463333333333333,0.03443798944996,0.0118953438833733
1950.75,0.0423333333333333,0.0348561998298406,0.00747713350349277
1951,0.035,0.0366924152016917,-0.00169241520169166
1951.25,0.031,0.0352429662013098,-0.00424296620130982
1951.5,0.0316666666666667,0.0352025882886787,-0.00353592162201208
1951.75,0.0336666666666667,0.0362972297687976,-0.00263056310213096
1952,0.0306666666666667,0.0353723055510946,-0.00470563888442796
1952.25,0.0296666666666667,0.0337080603614823,-0.00404139369481562
1952.5,0.0323333333333333,0.0350061899288302,-0.00267285659549687
1952.75,0.0283333333333333,0.0345100629446607,-0.00617672961132738
1953,0.027,0.0341525987298185,-0.0071525987298185
1953.25,0.0256666666666667,0.0321615712717315,-0.00649490460506486
1953.5,0.0273333333333333,0.0307379606061011,-0.00340462727276775
1953.75,0.037,0.0316654385726773,0.00533456142732269
1954,0.0526666666666667,0.0344747895006063,0.0181918771660604
1954.25,0.058,0.0345938337472639,0.0234061662527361
1954.5,0.0596666666666667,0.0343135865543406,0.0253530801123261
1954.75,0.0533333333333333,0.0332799572649298,0.0200533760684035
1955,0.0473333333333333,0.0341695120766387,0.0131638212566947
1955.25,0.044,0.0351624800035492,0.00883751999645076
1955.5,0.041,0.0358231768552148,0.00517682314478517
1955.75,0.0423333333333333,0.0372440897622995,0.00508924357103384
1956,0.0403333333333333,0.0372667561119976,0.00306657722133572
1956.25,0.042,0.0372478187280813,0.00475218127191875
1956.5,0.0413333333333333,0.0359493470810744,0.00538398625225889
1956.75,0.0413333333333333,0.036235648500092,0.00509768483324129
1957,0.0393333333333333,0.0351248566624201,0.00420847667091327
1957.25,0.041,0.0341633331707158,0.00683666682928415
1957.5,0.0423333333333333,0.0334937805171846,0.00883955281614875
1957.75,0.0493333333333333,0.0320589734361189,0.0172743598972144
1958,0.063,0.0340161726242092,0.0289838273757908
1958.25,0.0736666666666667,0.0352492710720535,0.0384173955946131
1958.5,0.0733333333333333,0.0365665299298568,0.0367668034034766
1958.75,0.0636666666666667,0.03517464364504,0.0284920230216266
1959,0.0583333333333333,0.0363623737154524,0.0219709596178809
1959.25,0.051,0.0364376179243375,0.0145623820756625
1959.5,0.0526666666666667,0.0369570321078712,0.0157096345587955
1959.75,0.056,0.0370405183549043,0.0189594816450957
1960,0.0513333333333333,0.0394602472256715,0.0118730861076619
1960.25,0.0523333333333333,0.0382796725865482,0.0140536607467851
1960.5,0.0553333333333333,0.0378079944514972,0.0175253388818361
1960.75,0.0626666666666667,0.0382116910556617,0.024454975611005
1961,0.068,0.0389118662278402,0.0290881337721598
1961.25,0.07,0.0403567425180312,0.0296432574819688
1961.5,0.0676666666666667,0.0412940673705074,0.0263725992961593
1961.75,0.062,0.0414664523038403,0.0205335476961596
1962,0.0563333333333333,0.0403256190969904,0.0160077142363429
1962.25,0.0553333333333333,0.0400582908605281,0.0152750424728053
1962.5,0.0556666666666667,0.0394799527186478,0.0161867139480189
1962.75,0.0553333333333333,0.0386522961801754,0.016681037153158
1963,0.0576666666666667,0.0398225229403328,0.0178441437263339
1963.25,0.0573333333333333,0.0392473636765013,0.018085969656832
1963.5,0.055,0.0387018518075471,0.0162981481924529
1963.75,0.0556666666666667,0.0395034457006249,0.0161632209660417
1964,0.0546666666666667,0.0395406963351263,0.0151259703315404
1964.25,0.052,0.0396063967897443,0.0123936032102557
1964.5,0.05,0.039707262140151,0.010292737859849
1964.75,0.0496666666666667,0.0401972912299103,0.00946937543675638
1965,0.049,0.0409764159812284,0.00802358401877164
1965.25,0.0466666666666667,0.0411582312545134,0.00550843541215331
1965.5,0.0436666666666667,0.0409131872247676,0.00275347944189904
1965.75,0.041,0.0419718159403823,-0.000971815940382342
1966,0.0386666666666667,0.0423115429483098,-0.00364487628164316
1966.25,0.0383333333333333,0.0423405505658845,-0.00400721723255117
1966.5,0.0376666666666667,0.0417758569298371,-0.00410919026317048
1966.75,0.037,0.0408799054141111,-0.00387990541411105
1967,0.0383333333333333,0.0412862635213645,-0.00295293018803119
1967.25,0.0383333333333333,0.0408037307662479,-0.00247039743291455
1967.5,0.038,0.0402972290197064,-0.00229722901970639
1967.75,0.039,0.041077974633616,-0.00207797463361601
1968,0.0373333333333333,0.0407136340799983,-0.00338030074666498
1968.25,0.0356666666666667,0.0401957709218271,-0.00452910425516042
1968.5,0.0353333333333333,0.0408955308615067,-0.00556219752817334
1968.75,0.034,0.0413271500751423,-0.00732715007514229
1969,0.034,0.0418314076582018,-0.00783140765820183
1969.25,0.0343333333333333,0.0419814773971146,-0.00764814406378127
1969.5,0.0356666666666667,0.0421026523313358,-0.0064359856646691
1969.75,0.0356666666666667,0.0417766548312438,-0.00610998816457717
1970,0.0416666666666667,0.0427687580678545,-0.0011020914011878
1970.25,0.0476666666666667,0.0430238951694934,0.00464277149717329
1970.5,0.0516666666666667,0.0429476425429848,0.00871902412368184
1970.75,0.0583333333333333,0.0435858029893017,0.0147475303440316
1971,0.0593333333333333,0.0434828190847322,0.0158505142486011
1971.25,0.059,0.0439461792044162,0.0150538207955838
1971.5,0.0603333333333333,0.0446881788992719,0.0156451544340614
1971.75,0.0593333333333333,0.0447603495170546,0.0145729838162787
1972,0.0576666666666667,0.0457945896852941,0.0118720769813726
1972.25,0.057,0.0464381308840052,0.0105618691159948
1972.5,0.0556666666666667,0.0472268755877178,0.00843979107894884
1972.75,0.0536666666666667,0.0487956054487606,0.00487106121790611
1973,0.0493333333333333,0.0487296396229007,0.000603693710432597
1973.25,0.0493333333333333,0.0484079883214882,0.000925345011845186
1973.5,0.048,0.0477493455452533,0.000250654454746715
1973.75,0.0476666666666667,0.0469614499113664,0.000705216755300248
1974,0.0513333333333333,0.0474533689238417,0.00387996440949167
1974.25,0.052,0.047941631177923,0.00405836882207699
1974.5,0.0563333333333333,0.0475680798668837,0.00876525346644968
1974.75,0.066,0.0467397047487465,0.0192602952512535
1975,0.0826666666666667,0.0479388499375333,0.0347278167291334
1975.25,0.0886666666666667,0.0494094008149147,0.039257265851752
1975.5,0.0846666666666667,0.0497218932329277,0.0349447734337389
1975.75,0.083,0.0501763556535014,0.0328236443464986
1976,0.0773333333333333,0.0500559686750741,0.0272773646582592
1976.25,0.0756666666666667,0.0501714837111459,0.0254951829555208
1976.5,0.0773333333333333,0.0505428311215129,0.0267905022118204
1976.75,0.0776666666666667,0.0514880784475613,0.0261785882191054
1977,0.075,0.0523927475897189,0.0226072524102811
1977.25,0.0713333333333333,0.052586648073019,0.0187466852603143
1977.5,0.069,0.0530150921908092,0.0159849078091908
1977.75,0.0666666666666667,0.0540781327751287,0.012588533891538
1978,0.0633333333333333,0.0539753029943634,0.00935803033896995
1978.25,0.06,0.0542770669804476,0.00572293301955235
1978.5,0.0603333333333333,0.0546304758252103,0.00570285750812301
1978.75,0.059,0.0549975757041466,0.00400242429585343
1979,0.0586666666666667,0.0541241371499096,0.00454252951675709
1979.25,0.057,0.0539342191933841,0.00306578080661591
1979.5,0.0586666666666667,0.0544124168835672,0.00425424978309944
1979.75,0.0596666666666667,0.0544740509070348,0.00519261575963184
1980,0.063,0.053852576540032,0.00914742345996804
1980.25,0.0733333333333333,0.0527193828997773,0.020613950433556
1980.5,0.0766666666666667,0.0538568060281665,0.0228098606385001
1980.75,0.074,0.0541559476573595,0.0198440523426405
1981,0.0743333333333333,0.0534265851426048,0.0209067481907285
1981.25,0.074,0.0530980225620503,0.0209019774379497
1981.5,0.074,0.0523494667276245,0.0216505332723755
1981.75,0.0823333333333333,0.0520194408103569,0.0303138925229765
1982,0.0883333333333333,0.0518486043956612,0.0364847289376721
1982.25,0.0943333333333333,0.0508093385992072,0.0435239947341261
1982.5,0.099,0.0487780688424624,0.0502219311575376
1982.75,0.106666666666667,0.0497460216164737,0.056920645050193
1983,0.103666666666667,0.0503624639764356,0.053304202690231
1983.25,0.101333333333333,0.0522098330457651,0.0491235002875682
1983.5,0.0936666666666667,0.0526844906547986,0.0409821760118681
1983.75,0.0853333333333333,0.0534930940506446,0.0318402392826887
1984,0.0786666666666667,0.0534378143265609,0.0252288523401057
1984.25,0.0743333333333333,0.0536810539721004,0.0206522793612329
1984.5,0.0743333333333333,0.0540948755018029,0.0202384578315304
1984.75,0.073,0.0539468874604149,0.0190531125395851
1985,0.0723333333333333,0.0537897140105182,0.0185436193228152
1985.25,0.073,0.0541719484604348,0.0188280515395652
1985.5,0.072,0.0539555372505918,0.0180444627494082
1985.75,0.0703333333333333,0.0531953423190832,0.0171379910142501
1986,0.0703333333333333,0.0525970003369436,0.0177363329963897
1986.25,0.0716666666666667,0.0531831218004777,0.018483544866189
1986.5,0.0696666666666667,0.052369308229577,0.0172973584370896
1986.75,0.0683333333333333,0.0522377045607651,0.0160956287725683
1987,0.066,0.0517010638188423,0.0142989361811577
1987.25,0.0626666666666667,0.0516681720210808,0.0109984946455858
1987.5,0.06,0.0514198405287298,0.00858015947127024
1987.75,0.0583333333333333,0.0510065355289562,0.00732679780437717
1988,0.057,0.0495459382795401,0.00745406172045987
1988.25,0.0546666666666667,0.0489512228879139,0.00571544377875281
1988.5,0.0546666666666667,0.0487086576835508,0.00595800898311585
1988.75,0.0533333333333333,0.0482769786406178,0.00505635469271554
1989,0.052,0.04669618114293,0.00530381885706998
1989.25,0.0523333333333333,0.0465654855493255,0.00576784778400781
1989.5,0.0523333333333333,0.0457338921248661,0.00659944120846724
1989.75,0.0536666666666667,0.0463321342770508,0.00733453238961586
1990,0.053,0.0449955553360551,0.00800444466394487
1990.25,0.0533333333333333,0.0439797933399217,0.00935353999341163
1990.5,0.057,0.0441950223441509,0.0128049776558491
1990.75,0.0613333333333333,0.0427041502016425,0.0186291831316908
1991,0.066,0.041583650633392,0.024416349366608
1991.25,0.0683333333333333,0.0416886608617313,0.0266446724716021
1991.5,0.0686666666666667,0.0410998783453187,0.0275667883213479
1991.75,0.071,0.0410783803640471,0.0299216196359529
1992,0.0736666666666667,0.0418133418367338,0.0318533248299328
1992.25,0.076,0.0428858951171594,0.0331141048828406
1992.5,0.0763333333333333,0.0429205985253908,0.0334127348079425
1992.75,0.0736666666666667,0.0428000519210485,0.0308666147456182
1993,0.0713333333333333,0.0423419938647726,0.0289913394685607
1993.25,0.0706666666666667,0.042616115887459,0.0280505507792077
1993.5,0.068,0.0425299894192322,0.0254700105807678
1993.75,0.0663333333333333,0.0431736802539078,0.0231596530794256
1994,0.0656666666666667,0.0447530259684564,0.0209136406982103
1994.25,0.062,0.0443561344874265,0.0176438655125735
1994.5,0.06,0.0441134900002256,0.0158865099997744
1994.75,0.0563333333333333,0.043957176130108,0.0123761572032254
1995,0.0546666666666667,0.0427940805875454,0.0118725860791212
1995.25,0.0566666666666667,0.0426054247980492,0.0140612418686175
1995.5,0.0566666666666667,0.0432434966208793,0.0134231700457874
1995.75,0.0556666666666667,0.0432695684697173,0.0123970981969493
1996,0.0553333333333333,0.0427101341083771,0.0126231992249562
1996.25,0.055,0.0423871049573649,0.0126128950426351
1996.5,0.0526666666666667,0.0415205437772141,0.0111461228894525
1996.75,0.0533333333333333,0.0424996732013579,0.0108336601319754
1997,0.0523333333333333,0.0427367913317476,0.00959654200158579
1997.25,0.05,0.0414728827066554,0.00852711729334456
1997.5,0.0486666666666667,0.0415652098114116,0.00710145685525507
1997.75,0.0466666666666667,0.0414782406141394,0.00518842605252725
1998,0.0463333333333333,0.0419418910186728,0.00439144231466058
1998.25,0.044,0.0409617707950556,0.00303822920494444
1998.5,0.0453333333333333,0.0412859943968089,0.00404733893652447
1998.75,0.0443333333333333,0.0407012148330844,0.00363211850024894
1999,0.043,0.0413690705721074,0.00163092942789263
1999.25,0.0426666666666667,0.0405122752316436,0.00215439143502305
1999.5,0.0423333333333333,0.0400553783321707,0.0022779550011626
1999.75,0.0406666666666667,0.0396882294333667,0.000978437233299954
2000,0.0403333333333333,0.0405825633054942,-0.000249229972160869
2000.25,0.0393333333333333,0.0390657565309227,0.000267576802410588
2000.5,0.04,0.0385573166424567,0.00144268335754332
2000.75,0.039,0.0374873311933512,0.00151266880664883
2001,0.0423333333333333,0.0388971878125386,0.00343614552079469
2001.25,0.044,0.0375695833389511,0.0064304166610489
2001.5,0.0483333333333333,0.0379390939343776,0.0103942393989557
2001.75,0.055,0.0383243734706596,0.0166756265293404
2002,0.057,0.0377261885011361,0.0192738114988639
2002.25,0.0583333333333333,0.0376184011629555,0.0207149321703779
2002.5,0.0573333333333333,0.036821827582606,0.0205115057507274
2002.75,0.0586666666666667,0.0372424400522679,0.0214242266143988
2003,0.0586666666666667,0.0362995803878615,0.0223670862788052
2003.25,0.0613333333333333,0.0363803812177197,0.0249529521156136
2003.5,0.0613333333333333,0.0365291007271617,0.0248042326061716
2003.75,0.0583333333333333,0.0358792111694599,0.0224541221638734
2004,0.057,0.0366314991590299,0.0203685008409701
2004.25,0.056,0.0369237317896451,0.0190762682103548
2004.5,0.0543333333333333,0.0362264489550859,0.0181068843782475
2004.75,0.0543333333333333,0.0370801023425659,0.0172532309907674
2005,0.053,0.0375664079189062,0.0154335920810938
2005.25,0.051,0.0369842690363633,0.0140157309636367
2005.5,0.0496666666666667,0.0371180853380858,0.0125485813285809
2005.75,0.0496666666666667,0.0375589914473791,0.0121076752192875
2006,0.0473333333333333,0.0369156616986214,0.0104176716347119
2006.25,0.0463333333333333,0.0378086144789334,0.00852471885439992
2006.5,0.0463333333333333,0.0373857310253483,0.00894760230798507
2006.75,0.0443333333333333,0.0368104401582489,0.00752289317508441
2007,0.045,0.0371491684689743,0.00785083153102575
2007.25,0.045,0.0374889257013707,0.00751107429862931
2007.5,0.0466666666666667,0.037723146591962,0.00894352007470468
2007.75,0.048,0.0380925176251958,0.00990748237480425
2008,0.05,0.0381656531158665,0.0118343468841335
2008.25,0.0533333333333333,0.0379015459411301,0.0154317873922033
2008.5,0.06,0.0381594109812189,0.0218405890187811
2008.75,0.0686666666666667,0.0381340794605541,0.0305325872061126
2009,0.0826666666666667,0.0395270080006216,0.0431396586660451
2009.25,0.093,0.0384564265687891,0.0545435734312109
2009.5,0.0963333333333333,0.0383763472478346,0.0579569860854988
2009.75,0.0993333333333333,0.0399309311576554,0.0594024021756779
2010,0.0983333333333333,0.0414856945493601,0.0568476387839732
2010.25,0.0963333333333333,0.042872053407676,0.0534612799256574
2010.5,0.0946666666666667,0.0426717487689814,0.0519949178976853
2010.75,0.095,0.0439077199909897,0.0510922800090103
2011,0.0903333333333333,0.0429436796103137,0.0473896537230196
2011.25,0.0906666666666667,0.043705238301283,0.0469614283653837
2011.5,0.09,0.045066776437158,0.044933223562842
