Year,Log unemployment rate,Log vacancy rate
1971.5,-2.80787053638442,-3.40822199659912
1971.75,-2.82458401735816,-3.38828115639561
1972,-2.85307597315247,-3.31410267481122
1972.25,-2.86470401114759,-3.27456473072879
1972.5,-2.88837375523349,-3.21721054554914
1972.75,-2.92496320266578,-3.11526684224918
1973,-3.00915529388613,-3.03378034119152
1973.25,-3.00915529388613,-3.04702556794154
1973.5,-3.03655426807425,-3.04702556794154
1973.75,-3.04352293739034,-3.07333351957754
1974,-2.96941496523662,-3.12660054875903
1974.25,-2.95651156040071,-3.11903048989848
1974.5,-2.87646885272717,-3.21471781471954
1974.75,-2.71810053695571,-3.40822199659912
1975,-2.49293882148526,-3.58271925828555
1975.25,-2.42287125886855,-3.59235788712331
1975.5,-2.46903330063171,-3.5335865697079
1975.75,-2.48891467118554,-3.4955080611334
1976,-2.55963019598394,-3.42959685618385
1976.25,-2.58141755016884,-3.40319938433283
1976.5,-2.55963019598394,-3.4102381263143
1976.75,-2.55532911408455,-3.37748085504484
1977,-2.59026716544583,-3.30770703857482
1977.25,-2.6403915526284,-3.25019450812563
1977.5,-2.67364877438488,-3.20070852091275
1977.75,-2.70805020110221,-3.12660054875903
1978,-2.75934349548976,-3.07911388249304
1978.25,-2.81341071676004,-3.01389624418166
1978.5,-2.80787053638442,-3.00645623691697
1978.75,-2.83021783507642,-2.9707145105787
1979,-2.8358835726121,-2.99706649656713
1979.25,-2.86470401114759,-2.97527626498661
1979.5,-2.8358835726121,-2.9864422266469
1979.75,-2.81898176180949,-3.00107987988059
1980,-2.7646205525906,-3.078389507235
1980.25,-2.61274002129788,-3.27280416689376
1980.5,-2.56828825872705,-3.27456473072879
1980.75,-2.60369018577797,-3.22808476395351
1981,-2.59919579619013,-3.25969781938846
1981.25,-2.60369018577797,-3.26754099684948
1981.5,-2.60369018577797,-3.29593687100466
1981.75,-2.49697923102227,-3.41529630604166
1982,-2.42663774166402,-3.49221678004932
1982.25,-2.36092067000701,-3.59842955119186
1982.5,-2.31263542884755,-3.72831352335934
1982.75,-2.23804657185647,-3.76360300030987
1983,-2.26657465547101,-3.71044363202978
1983.25,-2.28933986624402,-3.61562899237434
1983.5,-2.3680128983165,-3.51885542513039
1983.75,-2.46119012317068,-3.39521530998461
1984,-2.54253576262464,-3.31593753771133
1984.25,-2.59919579619013,-3.25019450812563
1984.5,-2.59919579619013,-3.23483584444693
1984.75,-2.61729583783375,-3.22221472613372
1985,-2.62647021410979,-3.2188758248682
1985.25,-2.61729583783375,-3.21388828335716
1985.5,-2.63108915996608,-3.20810075170024
1985.75,-2.65450943417418,-3.21305943954676
1986,-2.65450943417418,-3.23568294318458
1986.25,-2.63572953952258,-3.23229884520034
1986.5,-2.66403331568544,-3.23483584444693
1986.75,-2.68335758851184,-3.2205438819689
1987,-2.71810053695571,-3.20645330486964
1987.25,-2.7699256048203,-3.15590102570681
1987.5,-2.81341071676004,-3.12205164023266
1987.75,-2.84158159372673,-3.11002141995612
1988,-2.86470401114759,-3.14500597630175
1988.25,-2.90650113982605,-3.12736071603243
1988.5,-2.90650113982605,-3.13729583787578
1988.75,-2.93119375241642,-3.13040717688059
1989,-2.95651156040071,-3.17167422338391
1989.25,-2.95012176230194,-3.18366956913358
1989.5,-2.95012176230194,-3.21970950561678
1989.75,-2.92496320266578,-3.2188758248682
1990,-2.93746336543001,-3.26491976336961
1990.25,-2.93119375241642,-3.3168562332284
1990.5,-2.86470401114759,-3.37358221462918
1990.75,-2.79143181004126,-3.51548652806428
1991,-2.71810053695571,-3.64199586821509
1991.25,-2.68335758851184,-3.67169462935984
1991.5,-2.67849139886067,-3.70500883604382
1991.75,-2.64507540194082,-3.73947124023
1992,-2.60820486613249,-3.74087474923232
1992.25,-2.57702193869581,-3.7214026458195
1992.5,-2.57264556409601,-3.72416126825858
1992.75,-2.60820486613249,-3.69422706044053
1993,-2.6403915526284,-3.68356029263634
1993.25,-2.64978129297823,-3.66126428708096
1993.5,-2.68824757380603,-3.62684406319448
1993.75,-2.71306274292575,-3.57198570264244
1994,-2.72316383891226,-3.49002859536877
1994.25,-2.78062089393705,-3.45038762585293
1994.5,-2.81341071676004,-3.42856857845829
1994.75,-2.87646885272717,-3.37260992481024
1995,-2.90650113982605,-3.39620984015112
1995.25,-2.87056913059999,-3.440978251674
1995.5,-2.87056913059999,-3.41124771751566
1995.75,-2.88837375523349,-3.39223764029068
1996,-2.8943797792937,-3.41225832902158
1996.25,-2.90042209374967,-3.42140008897967
1996.5,-2.94377253462328,-3.41936135228983
1996.75,-2.93119375241642,-3.38532403250587
1997,-2.95012176230194,-3.35526844977376
1997.25,-2.99573227355399,-3.36969871460278
1997.5,-3.02276094594191,-3.33822258250077
1997.75,-3.06472514504094,-3.30044747856201
1998,-3.07189363451955,-3.27104669719711
1998.25,-3.12356564506388,-3.26666648870455
1998.5,-3.09371268191419,-3.28075122858629
1998.75,-3.11601843942849,-3.28697623757213
1999,-3.14655516328857,-3.22388836669175
1999.25,-3.15433730373063,-3.25796321357625
1999.5,-3.16218048119166,-3.27280416689376
1999.75,-3.20234652291699,-3.25105472323244
2000,-3.21057702205351,-3.19825653766547
2000.25,-3.23568294318458,-3.24933503235291
2000.5,-3.2188758248682,-3.29234297675007
2000.75,-3.24419363285249,-3.32331084300508
2001,-3.16218048119166,-3.3314861662239
2001.25,-3.12356564506388,-3.43955537437061
2001.5,-3.02963382522967,-3.51391256737093
2001.75,-2.90042209374967,-3.62291631056117
2002,-2.86470401114759,-3.69009752982616
2002.25,-2.84158159372673,-3.71894231760929
2002.5,-2.85887309083679,-3.74445584679133
2002.75,-2.8358835726121,-3.74472904012991
2003,-2.8358835726121,-3.79601462207028
2003.25,-2.79143181004126,-3.83601944430918
2003.5,-2.79143181004126,-3.82786030167175
2003.75,-2.84158159372673,-3.81361286082689
2004,-2.86470401114759,-3.74898954074534
2004.25,-2.88240358824699,-3.71539800521194
2004.5,-2.91261736684348,-3.72331421878689
2004.75,-2.91261736684348,-3.67673218963785
2005,-2.93746336543001,-3.62582670321743
2005.25,-2.97592964625781,-3.61859558959004
2005.5,-3.00242126170479,-3.58488064374759
2005.75,-3.00242126170479,-3.56126369184783
2006,-3.05054051004899,-3.54769825336351
2006.25,-3.07189363451955,-3.4785429775863
2006.5,-3.07189363451955,-3.50103870697369
2006.75,-3.11601843942849,-3.48792910875162
2007,-3.10109278921182,-3.4845349930646
2007.25,-3.10109278921182,-3.46632661928786
2007.5,-3.06472514504094,-3.49023766490473
2007.75,-3.03655426807425,-3.49892053977821
2008,-2.99573227355399,-3.53590632829546
2008.25,-2.93119375241642,-3.61433300302801
2008.5,-2.81341071676004,-3.71855501928762
2008.75,-2.67849139886067,-3.85480244638472
2009,-2.49293882148526,-3.96860336625926
2009.25,-2.37515578582888,-4.14130312630348
2009.5,-2.33994087953781,-4.18068705297338
2009.75,-2.30927408114484,-4.13193399571107
2010,-2.31939221131043,-4.04542103034055
2010.25,-2.33994087953781,-3.95912932254842
2010.5,-2.35739332948904,-3.9510430686127
2010.75,-2.3538783873816,-3.89745185332368
2011,-2.40424874677055,-3.89148284982919
2011.25,-2.40056550135425,-3.86000912758535
2011.5,-2.40794560865187,-3.79127432796532
2011.75,-2.44953950595071,-3.74167159333734
2012,-2.49293882148526,-3.71526423960271
2012.25,-2.50103603171788,-3.68931446106226
2012.5,-2.52157063415959,-3.70334011964412
2012.75,-2.55104645229255,-3.69992416969807
2013,-2.55963019598394,-3.66806168375757
2013.25,-2.58583256837796,-3.64347535674224
2013.5,-2.62647021410979,-3.65124038440033
2013.75,-2.66882948794893,-3.6190573038039
2014,-2.70805020110221,-3.61072196016748
2014.25,-2.78062089393705,-3.52837381222245
2014.5,-2.80236088057345,-3.42905817697183
2014.75,-2.86470401114759,-3.4585960996893
2015,-2.8943797792937,-3.3845455565152
2015.25,-2.91261736684348,-3.36101574782233
2015.5,-2.97592964625781,-3.33504077356569
2015.75,-2.98908773083532,-3.3270232386079
2016,-3.01593498087151,-3.29617223497922
2016.25,-3.00915529388613,-3.29323668572881
2016.5,-3.01593498087151,-3.31521446590003
2016.75,-3.04352293739034,-3.31307896537827
2017,-3.08638664182212,-3.3105523087202
2017.25,-3.1311702444491,-3.29988668449329
2017.5,-3.13883311719466,-3.24346295559236
2017.75,-3.17805383034795,-3.23236145733206
2018,-3.21057702205351,-3.21202837485704
2018.25,-3.23568294318458,-3.15520443563793
2018.5,-3.27897974893791,-3.11240175171858
2018.75,-3.261435439287,-3.08665935542767
2019,-3.25277737654388,-3.09846455367038
2019.25,-3.3150196854211,-3.10650313056381
2019.5,-3.32423634052603,-3.13332657712617
2019.75,-3.32423634052603,-3.14298038362633
