Year,FERU
1982,0.0518486043956612
1982.25,0.0508093385992072
1982.5,0.0487780688424624
1982.75,0.0497460216164737
1983,0.0503624639764356
1983.25,0.0522098330457651
1983.5,0.0526844906547986
1983.75,0.0534930940506446
1984,0.0534378143265609
1984.25,0.0536810539721004
1984.5,0.0540948755018029
1984.75,0.0539468874604149
1985,0.0537897140105182
1985.25,0.0541719484604348
1985.5,0.0539555372505918
1985.75,0.0531953423190832
1986,0.0525970003369436
1986.25,0.0531831218004777
1986.5,0.052369308229577
1986.75,0.0522377045607651
1987,0.0517010638188423
1987.25,0.0516681720210808
1987.5,0.0514198405287298
1987.75,0.0510065355289562
1988,0.0495459382795401
1988.25,0.0489512228879139
1988.5,0.0487086576835508
1988.75,0.0482769786406178
1989,0.04669618114293
1989.25,0.0465654855493255
