Year,U3 gap,U4 gap,U5 gap
2016,0.00640649950664311,0.00859184104553339,0.0131428066729733
2016.25,0.00653242653780746,0.00851778535218096,0.012851073407977
2016.5,0.00681011266992716,0.00861567968010638,0.0133762373655493
2016.75,0.00601029543768626,0.00797923932166067,0.0125049287441442
2017,0.00484202735989044,0.00658876122407215,0.0106307408402204
2017.25,0.00353254790410064,0.00504873194165346,0.00899397083671739
2017.5,0.00220870207886558,0.00369048178017875,0.00736018245120853
2017.75,0.00111618596056945,0.00274556268919784,0.00635176467884466
2018,2.92583308805702e-05,0.00143950204667801,0.00497387074852531
2018.25,-0.001615019660969,-0.000429182207906526,0.00278485778386488
2018.5,-0.00327157083961827,-0.00181259392008337,0.00148123209288723
2018.75,-0.00350060289467601,-0.00236297407227282,0.00107027512036276
2019,-0.00310149279411952,-0.00195436342336355,0.00132706129244609
