Year,Tightness
2008,0.582646831104261
2008.25,0.505029088380795
2008.5,0.404483512898213
2008.75,0.308414368619443
2009,0.228626743843178
2009.25,0.170990489587312
2009.5,0.158698964964229
2009.75,0.161595348948885
2010,0.177989838209541
2010.25,0.198059370344172
2010.5,0.203182693005202
2010.75,0.213616385020183
2011,0.225996875944764
2011.25,0.232365520852447
2011.5,0.250742510918121
2011.75,0.274684506943298
2012,0.294544430965456
2012.25,0.304745453552891
2012.5,0.306735494106842
2012.75,0.316992324793606
2013,0.330076283942504
2013.25,0.347273443285795
2013.5,0.358878936970193
2013.75,0.386652927752769
2014,0.405484853382441
2014.25,0.473429192456261
2014.5,0.534353701782751
2014.75,0.552173986992212
2015,0.612524843100631
2015.25,0.638650207251222
2015.5,0.698296747202066
2015.75,0.713241284934197
