Year,FERU,NRU,NRUST,NAIRU
1991.25,0.0416886608617313,0.05637838,0.05637838,0.05366
1991.5,0.0410998783453187,0.05619961,0.05619961,0.052943
1991.75,0.0410783803640471,0.05602534,0.05602534,0.053134
1992,0.0418133418367338,0.0558557653427124,0.05585576534,0.053814
1992.25,0.0428858951171594,0.05569084,0.05569084,0.054383
1992.5,0.0429205985253908,0.05553059,0.05553059,0.054329
1992.75,0.0428000519210485,0.05537511,0.05537511,0.053403
1993,0.0423419938647726,0.05522455,0.05522455,0.052512
1993.25,0.042616115887459,0.0550790452957153,0.0550790453,0.052932
1993.5,0.0425299894192322,0.054938645362854,0.05493864536,0.052757
1993.75,0.0431736802539078,0.0548034143447876,0.05480341434,0.052635
1994,0.0447530259684564,0.0546733856201172,0.05467338562,0.052964
1994.25,0.0443561344874265,0.05454845,0.05454845,0.051816
1994.5,0.0441134900002256,0.05442838,0.05442838,0.052314
1994.75,0.043957176130108,0.05431291,0.05431291,0.05181
1995,0.0427940805875454,0.05420172,0.05420172,0.051375
1995.25,0.0426054247980492,0.0540945148468018,0.05409451485,0.052376
1995.5,0.0432434966208793,0.05399091,0.05399091,0.051952
1995.75,0.0432695684697173,0.0538905,0.0538905,0.051673
1996,0.0427101341083771,0.05379276,0.05379276,0.051494
1996.25,0.0423871049573649,0.0536970949172974,0.05369709492,0.051666
1996.5,0.0415205437772141,0.0536029243469238,0.05360292435,0.050975
1996.75,0.0424996732013579,0.0535097360610962,0.05350973606,0.05174
1997,0.0427367913317476,0.05341696,0.05341696,0.051774
1997.25,0.0414728827066554,0.0533240938186645,0.05332409382,0.051188
1997.5,0.0415652098114116,0.0532308053970337,0.0532308054,0.051059
1997.75,0.0414782406141394,0.0531369,0.0531369,0.050296
1998,0.0419418910186728,0.05304222,0.05304222,0.050036
1998.25,0.0409617707950556,0.05294664,0.05294664,0.048848
1998.5,0.0412859943968089,0.05285001,0.05285001,0.049488
1998.75,0.0407012148330844,0.05275233,0.05275233,0.049426
1999,0.0413690705721074,0.05265363,0.05265363,0.048902
1999.25,0.0405122752316436,0.0525539445877075,0.05255394459,0.048842
1999.5,0.0400553783321707,0.0524533367156982,0.05245333672,0.048934
1999.75,0.0396882294333667,0.0523518466949463,0.05235184669,0.048402
2000,0.0405825633054942,0.05224948,0.05224948,0.048726
2000.25,0.0390657565309227,0.05214622,0.05214622,0.048613
2000.5,0.0385573166424567,0.05204211,0.05204211,0.049623
2000.75,0.0374873311933512,0.05193731,0.05193731,0.049091
2001,0.0388971878125386,0.0518319654464722,0.05183196545,0.050047
2001.25,0.0375695833389511,0.0517261362075806,0.05172613621,0.049913
2001.5,0.0379390939343776,0.05161983,0.05161983,0.051029
2001.75,0.0383243734706596,0.05151313,0.05151313,0.053042
2002,0.0377261885011361,0.0514061546325684,0.05140615463,0.052825
2002.25,0.0376184011629555,0.05129905,0.05129905,0.053347
2002.5,0.036821827582606,0.05119209,0.05119209,0.052195
2002.75,0.0372424400522679,0.0510856151580811,0.05108561516,0.052381
2003,0.0362995803878615,0.0509799,0.0509799,0.052489
2003.25,0.0363803812177197,0.05087525,0.05087525,0.053199
2003.5,0.0365291007271617,0.05077202,0.05077202,0.053503
2003.75,0.0358792111694599,0.0506705856323242,0.05067058563,0.052349
2004,0.0366314991590299,0.05057126,0.05057126,0.051919
2004.25,0.0369237317896451,0.0504743242263794,0.05047432423,0.051985
2004.5,0.0362264489550859,0.05038008,0.05038008,0.051421
2004.75,0.0370801023425659,0.0502887868881226,0.05028878689,0.051219
2005,0.0375664079189062,0.05020076,0.05020076,0.050479
2005.25,0.0369842690363633,0.05011637,0.05011637,0.049574
2005.5,0.0371180853380858,0.0500365448000044,0.0500365448,0.049549
2005.75,0.0375589914473791,0.049967167758934,0.04996716776,0.049996
2006,0.0369156616986214,0.049870167367941,0.04987016737,0.049368
2006.25,0.0378086144789334,0.0497673447586248,0.04976734476,0.049761
2006.5,0.0373857310253483,0.0496601115778697,0.04966011158,0.050503
2006.75,0.0368104401582489,0.0495504008049342,0.0495504008,0.050458
2007,0.0371491684689743,0.0494404698012873,0.0494404698,0.051852
2007.25,0.0374889257013707,0.0493326857921701,0.04933268579,0.051956
2007.5,0.037723146591962,0.0492292513944172,0.04922925139,0.052321
2007.75,0.0380925176251958,0.0491319432470531,0.04913194325,0.052392
2008,0.0381656531158665,0.0490419171885868,0.04912083379,0.052691
